skeleton	fscore	ions
Ajmalicinespiro.Corynantheanspiro	0.8621	124.0429_frag|132.045_frag|158.0602_frag|160.0752_frag|108.0804_frag
Ajmalicinespiro.Corynantheanspiro	0.8621	124.0429_frag|145.055_frag|158.0602_frag|160.0752_frag|108.0804_frag
Ajmalicinespiro.Corynantheanspiro	0.8621	124.0429_frag|132.045_frag|145.055_frag|158.0602_frag|160.0752_frag|108.0804_frag
Cinchona	0.7692	157.055_frag|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	169.055_frag|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	136.115_nl|157.055_frag|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	136.115_nl|169.055_frag|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	159.075_nl|157.055_frag|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	159.075_nl|169.055_frag|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	129.055_frag|157.055_frag|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	129.055_frag|169.055_frag|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	74.075_nl|157.055_frag|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	74.075_nl|169.055_frag|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	157.055_frag|169.055_frag|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	157.055_frag|114.105_nl|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	157.055_frag|159.065_nl|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	157.055_frag|180.145_nl|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	157.055_frag|187.065_nl|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	169.055_frag|114.105_nl|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
Cinchona	0.7692	169.055_frag|159.065_nl|165.115_nl|153.115_nl|181.0838_frag|77.0819_nl|180.0853_frag|136.1118_frag|108.0804_frag|134.0955_frag|154.0655_frag|122.096_frag|155.0713_frag|167.0723_frag|120.0767_frag|105.0688_frag|130.0665_frag|143.0731_frag|106.0651_frag|144.0774_frag|142.0645_frag|115.0535_frag
