skeleton	fscore	ions
Lapidilectine	1	241.095_nl|223.085_nl|106.0651_frag|146.0599_frag|144.0774_frag|129.0667_frag|128.0559_frag|103.0539_frag|115.0535_frag
Ajmalicinespiro	0.9821	124.0429_frag|237.105_nl|158.0602_frag|160.0752_frag|108.0804_frag
Ajmalicinespiro	0.9821	124.0429_frag|237.135_nl|158.0602_frag|160.0752_frag|108.0804_frag
Ajmalicinespiro	0.9821	124.0429_frag|237.105_nl|237.135_nl|158.0602_frag|160.0752_frag|108.0804_frag
Corynantheanspiro	0.9615	253.165_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	243.1462_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|198.125_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|129.055_frag|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|227.155_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|243.1462_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|267.145_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	198.125_nl|227.155_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	198.125_nl|243.1462_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	129.055_frag|227.155_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	129.055_frag|243.1462_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	227.155_nl|243.1462_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	243.1462_nl|267.145_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|198.125_nl|129.055_frag|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|198.125_nl|227.155_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|198.125_nl|243.1462_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|198.125_nl|267.145_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|129.055_frag|227.155_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|129.055_frag|243.1462_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|129.055_frag|267.145_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|227.155_nl|243.1462_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|227.155_nl|267.145_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	253.165_nl|243.1462_nl|267.145_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	198.125_nl|129.055_frag|227.155_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	198.125_nl|129.055_frag|243.1462_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	198.125_nl|227.155_nl|243.1462_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
Corynantheanspiro	0.9615	198.125_nl|227.155_nl|267.145_nl|241.1208_nl|158.0602_frag|160.0752_frag|225.135_nl|108.0804_frag|130.0665_frag
